topic	url	warc_file	doc_offset	doc_length	sentence_hash	sentence	start_in_text	length_in_text	merged_segments	ANNOTATOR_00	ANNOTATOR_01	ANNOTATOR_02	ANNOTATOR_03	ANNOTATOR_04	ANNOTATOR_05	ANNOTATOR_06	ANNOTATOR_07	ANNOTATOR_08	ANNOTATOR_09	ANNOTATOR_10	ANNOTATOR_11	ANNOTATOR_12	ANNOTATOR_13	ANNOTATOR_14	ANNOTATOR_15	ANNOTATOR_16	ANNOTATOR_17	ANNOTATOR_18	ANNOTATOR_19	ANNOTATOR_20	ANNOTATOR_21	ANNOTATOR_22	ANNOTATOR_23	ANNOTATOR_24	ANNOTATOR_25	ANNOTATOR_26	ANNOTATOR_27	ANNOTATOR_28	ANNOTATOR_29	ANNOTATOR_30	ANNOTATOR_31	ANNOTATOR_32	ANNOTATOR_33	ANNOTATOR_34	ANNOTATOR_35	ANNOTATOR_36	ANNOTATOR_37	ANNOTATOR_38	ANNOTATOR_39	ANNOTATOR_40	ANNOTATOR_41	ANNOTATOR_42	ANNOTATOR_43	ANNOTATOR_44	ANNOTATOR_45	ANNOTATOR_46	ANNOTATOR_47	ANNOTATOR_48	ANNOTATOR_49	ANNOTATOR_50	ANNOTATOR_51	ANNOTATOR_52	ANNOTATOR_53	ANNOTATOR_54	ANNOTATOR_55	ANNOTATOR_56	ANNOTATOR_57	ANNOTATOR_58	ANNOTATOR_59	ANNOTATOR_60	ANNOTATOR_61	ANNOTATOR_62	ANNOTATOR_63	ANNOTATOR_64	ANNOTATOR_65	ANNOTATOR_66	ANNOTATOR_67	ANNOTATOR_68	ANNOTATOR_69	ANNOTATOR_70	ANNOTATOR_71	ANNOTATOR_72	ANNOTATOR_73	ANNOTATOR_74	ANNOTATOR_75	ANNOTATOR_76	ANNOTATOR_77	ANNOTATOR_78	ANNOTATOR_79	ANNOTATOR_80	ANNOTATOR_81	ANNOTATOR_82	ANNOTATOR_83	ANNOTATOR_84	ANNOTATOR_85	ANNOTATOR_86	ANNOTATOR_87	ANNOTATOR_88	ANNOTATOR_89	ANNOTATOR_90	ANNOTATOR_91	ANNOTATOR_92	ANNOTATOR_93	ANNOTATOR_94	ANNOTATOR_95	ANNOTATOR_96	ANNOTATOR_97
abortion	http://www.texasrighttolife.com/about/145/Abortion-Myths	crawl-data/CC-MAIN-2016-07/segments/1454701157262.85/warc/CC-MAIN-20160205193917-00206-ip-10-236-182-209.ec2.internal.warc.gz	691803876	16491	da922b39d403a514d6d85738e4713820		12219	90	('false', '(6,83);', 'pro;')																															('true', None, None)																									('false', '(6,45);', 'pro;')																										('true', None, None)						('false', '(6,83);', 'pro;')								('false', '(6,83);', 'pro;')		
abortion	http://www.prochoiceactionnetwork-canada.org/abortioninfo/misconce.shtml	crawl-data/CC-MAIN-2016-07/segments/1454701158811.82/warc/CC-MAIN-20160205193918-00074-ip-10-236-182-209.ec2.internal.warc.gz	616140285	7691	72b8f63535821b99884a40cb37733e19		5310	176	('false', '(0,92);', 'pro;')																															('false', '(0,92);(94,81);', 'pro;pro;')																									('false', '(0,92);', 'pro;')						('true', None, None)																														('true', None, None)				('false', '(0,92);', 'pro;')		
abortion	http://blog.seattlepi.com/seattlepolitics/2013/10/17/the-40-year-abortion-war-emilys-list-on-the-front-lines/	crawl-data/CC-MAIN-2016-07/segments/1454701159985.29/warc/CC-MAIN-20160205193919-00295-ip-10-236-182-209.ec2.internal.warc.gz	25199463	34696	ff6791c27ca361f6589ec1d8f8c92407		26454	192	('false', '(35,156);', 'pro;')						('true', None, None)		('true', None, None)																							('true', None, None)										('false', '(35,77);(115,76);', 'pro;pro;')																('false', '(0,191);', 'pro;')																																									
abortion	http://pac-consortium.org/resources/unsafe-abortion/	crawl-data/CC-MAIN-2016-07/segments/1454701149377.17/warc/CC-MAIN-20160205193909-00032-ip-10-236-182-209.ec2.internal.warc.gz	174854033	11651	c61da64497e3c591c2b0ccfe5a07b429		8597	185	('false', '(107,77);', 'pro;')																																																								('false', '(107,77);', 'pro;')					('false', '(9,175);', 'pro;')																					('false', '(107,77);', 'pro;')										('true', None, None)				('true', None, None)		
abortion	http://essaychief.com/research-essay-topic.php?tid=8541&topic=abortion	crawl-data/CC-MAIN-2016-07/segments/1454701987329.64/warc/CC-MAIN-20160205195307-00213-ip-10-236-182-209.ec2.internal.warc.gz	79947414	11360	d1bd1ef0c9ef069e7c9a027e41015fcd		1696	172	('false', '(71,76);', 'pro;')																																									('false', '(71,76);', 'pro;')																				('false', '(71,76);', 'pro;')																					('true', None, None)										('true', None, None)						('true', None, None)
abortion	http://abortion-not.org/wilke-7.htm	crawl-data/CC-MAIN-2016-07/segments/1454701159155.63/warc/CC-MAIN-20160205193919-00341-ip-10-236-182-209.ec2.internal.warc.gz	2021270	10672	80d5784219ca13205edc3c15fca4237a		1539	183	('false', '(0,182);', 'pro;')																															('true', None, None)			('false', '(0,182);', 'con;')																				('false', '(0,182);', 'pro;')								('true', None, None)																													('true', None, None)							
abortion	http://abortioninfo.org/	crawl-data/CC-MAIN-2016-07/segments/1454701157012.30/warc/CC-MAIN-20160205193917-00026-ip-10-236-182-209.ec2.internal.warc.gz	2610809	3390	d2e8b49ffb41a044b1ec3868882b5293		3437	75	('false', '(0,74);', 'pro;')																															('false', '(0,74);', 'pro;')										('false', '(0,74);', 'pro;')															('false', '(0,74);', 'pro;')					('false', '(0,55);', 'pro;')																																					('false', '(0,74);', 'pro;')
abortion	http://www.newsbusters.org/print/56670	crawl-data/CC-MAIN-2016-07/segments/1454701159654.65/warc/CC-MAIN-20160205193919-00109-ip-10-236-182-209.ec2.internal.warc.gz	588461158	5587	85fc58f0be4d698d5eed8d507b10b2a6		4866	137	('false', '(9,127);', 'pro;')								('true', None, None)																							('true', None, None)																																																						('false', '(9,127);', 'pro;')			('false', '(9,127);', 'pro;')				('false', '(9,127);', 'pro;')						
abortion	http://abortiononline.com/abortion-pill/	crawl-data/CC-MAIN-2016-07/segments/1454701152982.47/warc/CC-MAIN-20160205193912-00005-ip-10-236-182-209.ec2.internal.warc.gz	1922103	10439	b4fc34babe3ab827fd4662c1a3a441d1		5637	102	('false', '(0,101);', 'pro;')																															('false', '(0,101);', 'pro;')										('false', '(0,101);', 'pro;')			('false', '(0,101);', 'pro;')										('false', '(0,101);', 'pro;')																																										('false', '(0,101);', 'pro;')		
abortion	http://depts.washington.edu/uwcoe/healthtopics/familyplan/term_facts.html	crawl-data/CC-MAIN-2016-07/segments/1454701162035.80/warc/CC-MAIN-20160205193922-00084-ip-10-236-182-209.ec2.internal.warc.gz	57001466	5222	428d9126c34827c6809a9ceea5af40f9		4224	62	('false', '(30,31);', 'pro;')																																		('true', None, None)						('true', None, None)														('false', '(30,31);', 'pro;')																																		('true', None, None)				('true', None, None)						
abortion	http://file.scirp.org/Html/14-8202071_43136.htm	crawl-data/CC-MAIN-2016-07/segments/1454701160822.87/warc/CC-MAIN-20160205193920-00205-ip-10-236-182-209.ec2.internal.warc.gz	81540111	11993	f521ec494c2de976428508069268a2eb		3147	137	('false', '(22,110);', 'pro;')										('false', '(22,110);', 'pro;')																					('true', None, None)																																																													('false', '(22,110);', 'pro;')				('true', None, None)		('true', None, None)
abortion	http://www.americanthinker.com/articles/2014/02/pro-life_movement_victorious_at_curbing_abortions.html	crawl-data/CC-MAIN-2016-07/segments/1454701153998.27/warc/CC-MAIN-20160205193913-00291-ip-10-236-182-209.ec2.internal.warc.gz	265824086	7751	68f803ca5c2fb78d17dce8b6f00dd7b7		1654	238	('false', '(155,82);', 'pro;')																																									('true', None, None)															('true', None, None)						('false', '(159,78);', 'pro;')																														('true', None, None)				('false', '(155,82);', 'pro;')		
abortion	https://trinityspeaks.wordpress.com/2012/01/23/abortion-is-as-american-as-apple-pie-the-culture-of-death-finds-a-voice/	crawl-data/CC-MAIN-2016-07/segments/1454701166739.77/warc/CC-MAIN-20160205193926-00072-ip-10-236-182-209.ec2.internal.warc.gz	828495563	23579	a5c6f7838bce1def7094137ae827fdfc		0	161	('false', '(1,36);', 'pro;')								('true', None, None)																							('true', None, None)										('true', None, None)															('false', '(1,36);', 'pro;')																																				('true', None, None)						
abortion	http://www.prnewswire.com/news-releases/frc-praises-house-judiciary-committee-passage-of-no-taxpayer-funding-for-abortion-act-240359541.html	crawl-data/CC-MAIN-2016-07/segments/1454701160822.87/warc/CC-MAIN-20160205193920-00344-ip-10-236-182-209.ec2.internal.warc.gz	629727702	36931	b038d1e389867d6145d5811b0ce5dd5e		890	186	('false', '(0,185);', 'pro;')																																		('true', None, None)							('false', '(4,181);', 'pro;')															('true', None, None)																																				('false', '(0,185);', 'pro;')				('true', None, None)		
abortion	http://www.studymode.com/subjects/disadvantages-of-abortion-page1.html	crawl-data/CC-MAIN-2016-07/segments/1454701158481.37/warc/CC-MAIN-20160205193918-00212-ip-10-236-182-209.ec2.internal.warc.gz	678767389	15524	03d3a8b95a9b83ab24b894df7dcc2736		3114	167	('false', '(34,132);', 'pro;')															('false', '(0,166);', 'pro;')																			('true', None, None)																						('true', None, None)					('false', '(34,132);', 'pro;')																											('false', '(34,132);', 'con;')										
abortion	http://www.abortionindia.com/abortion-research.html	crawl-data/CC-MAIN-2016-07/segments/1454702018134.95/warc/CC-MAIN-20160205195338-00121-ip-10-236-182-209.ec2.internal.warc.gz	244189209	9891	ed2b48d1f8d51bcf7fcfbe71c0b5b196		4125	230	('false', '(0,157);(171,58);', 'pro;con;')																																		('false', '(0,157);', 'pro;')							('false', '(56,53);(120,37);(171,28);', 'con;pro;con;')															('false', '(56,53);(111,46);(171,58);', 'con;pro;con;')																																				('true', None, None)						('false', '(0,157);', 'pro;')
abortion	http://www.guttmacher.org/pubs/journals/3713411.html	crawl-data/CC-MAIN-2016-07/segments/1454701162938.42/warc/CC-MAIN-20160205193922-00195-ip-10-236-182-209.ec2.internal.warc.gz	448520210	18733	e2e35a2d60adf07ba8648f97c8075d6b		2162	148	('false', '(0,147);', 'pro;')																															('false', '(0,147);', 'pro;')			('false', '(36,111);', 'pro;')																				('false', '(36,111);', 'pro;')								('false', '(0,147);', 'con;')																													('false', '(36,111);', 'pro;')							
abortion	http://www.alternet.org/story/151800/10_things_i'd_say_to_the_anti-choice_fanatics_trying_to_end_access_to_abortion?paging=off&current_page=1	crawl-data/CC-MAIN-2016-07/segments/1454701166141.55/warc/CC-MAIN-20160205193926-00169-ip-10-236-182-209.ec2.internal.warc.gz	262753169	28003	3500f0fdcaf84963f692ebd02750dd20		5033	121	('false', '(0,59);(65,55);', 'pro;pro;')																																																																				('false', '(0,59);(65,55);', 'pro;pro;')														('false', '(0,120);', 'pro;')			('false', '(0,59);(65,55);', 'pro;pro;')											('false', '(0,52);(65,55);', 'pro;pro;')		('false', '(0,59);(65,55);', 'pro;pro;')
abortion	http://www.prochoiceactionnetwork-canada.org/abortioninfo/teens.shtml	crawl-data/CC-MAIN-2016-07/segments/1454701156627.12/warc/CC-MAIN-20160205193916-00294-ip-10-236-182-209.ec2.internal.warc.gz	606547197	5974	1222170c85a59bb809261d3726cd8c50		6219	113	('false', '(26,86);', 'pro;')																																																													('true', None, None)																														('false', '(26,86);', 'pro;')			('false', '(26,86);', 'pro;')		('true', None, None)		('true', None, None)
abortion	http://www.abort73.com/end_abortion/education_before_legislation/	crawl-data/CC-MAIN-2016-07/segments/1454701159155.63/warc/CC-MAIN-20160205193919-00049-ip-10-236-182-209.ec2.internal.warc.gz	255513022	11823	3589b0e7214fdb2f86903a4ff81e03a0		6477	100	('false', '(0,99);', 'pro;')																				('false', '(0,74);', 'pro;')																																																('true', None, None)																							('false', '(0,74);', 'pro;')					('false', '(0,74);', 'pro;')		('false', '(0,99);', 'pro;')
abortion	http://www.conservapedia.com/Illegal_abortion	crawl-data/CC-MAIN-2016-07/segments/1454701157012.30/warc/CC-MAIN-20160205193917-00334-ip-10-236-182-209.ec2.internal.warc.gz	338217733	12314	d3bb0261b2240b16ffd1525788e4bb64		507	159	('false', '(28,130);', 'pro;')																						('false', '(28,130);', 'pro;')									('false', '(47,111);', 'pro;')					('false', '(0,158);', 'pro;')																																														('false', '(47,111);', 'pro;')														('false', '(28,130);', 'pro;')		
abortion	http://www.guttmacher.org/pubs/journals/3103599.html	crawl-data/CC-MAIN-2016-07/segments/1454701156448.92/warc/CC-MAIN-20160205193916-00007-ip-10-236-182-209.ec2.internal.warc.gz	449744043	14815	4738dff32ca76b9cf2e0569d7da47de9		21517	139	('false', '(79,59);', 'pro;')																				('true', None, None)											('true', None, None)																		('true', None, None)																																															('true', None, None)		('false', '(79,59);', 'pro;')
abortion	http://www.nationmaster.com/country-info/stats/Health/Abortions	crawl-data/CC-MAIN-2016-07/segments/1454701155060.45/warc/CC-MAIN-20160205193915-00232-ip-10-236-182-209.ec2.internal.warc.gz	555825342	18947	09782ba6bfc8423504e72396144b4f2e		987	119	('false', '(0,118);', 'pro;')																											('false', '(25,93);', 'pro;')													('true', None, None)																					('false', '(0,118);', 'pro;')																														('true', None, None)					('false', '(0,118);', 'pro;')		
abortion	http://www.ourbodiesourselves.org/health-info/impact-of-illegal-abortion/	crawl-data/CC-MAIN-2016-07/segments/1454701152097.59/warc/CC-MAIN-20160205193912-00242-ip-10-236-182-209.ec2.internal.warc.gz	597062484	11159	8503c2852fcdf280adc52c20eaab9696		1679	62	('false', '(0,61);', 'pro;')																															('true', None, None)																														('false', '(0,61);', 'pro;')							('true', None, None)																										('false', '(0,61);', 'pro;')		('false', '(0,61);', 'pro;')		
abortion	http://www.priestsforlife.org/lte250.html	crawl-data/CC-MAIN-2016-07/segments/1454702032759.79/warc/CC-MAIN-20160205195352-00298-ip-10-236-182-209.ec2.internal.warc.gz	607665850	11843	5dc3026fab0d9662937c7f101489c3e3		3160	124	('false', '(55,67);', 'pro;')															('false', '(55,67);', 'pro;')							('false', '(55,67);', 'pro;')									('true', None, None)																																					('false', '(11,111);', 'pro;')																												('false', '(66,56);', 'pro;')		
abortion	http://www.prochoiceactionnetwork-canada.org/abortioninfo/misconce.shtml	crawl-data/CC-MAIN-2016-07/segments/1454701158811.82/warc/CC-MAIN-20160205193918-00074-ip-10-236-182-209.ec2.internal.warc.gz	616140285	7691	368b481e24a7751079f1a93a62ac3614		152	141	('false', '(28,112);', 'pro;')						('true', None, None)																('true', None, None)									('true', None, None)																														('false', '(0,25);(28,67);(101,39);', 'con;con;con;')																																			('false', '(28,112);', 'pro;')		
abortion	http://www.prochoiceactionnetwork-canada.org/abortioninfo/teens.shtml	crawl-data/CC-MAIN-2016-07/segments/1454701156627.12/warc/CC-MAIN-20160205193916-00294-ip-10-236-182-209.ec2.internal.warc.gz	606547197	5974	d97e3d53bb3ddbbe09f2c3a10f2d56fb		2864	119	('false', '(0,28);(31,49);', 'pro;pro;')						('false', '(0,28);', 'pro;')																																											('false', '(0,28);', 'pro;')												('false', '(0,28);(31,49);(86,32);', 'pro;pro;pro;')																															('true', None, None)				('false', '(0,28);(31,49);', 'pro;pro;')		
abortion	http://www.abortionrisks.org/index.php?title=Articles_by_Strahan	crawl-data/CC-MAIN-2016-07/segments/1454701157443.43/warc/CC-MAIN-20160205193917-00231-ip-10-236-182-209.ec2.internal.warc.gz	253527690	22062	79d685a3e5cc3c464eb743808b722b61		9958	176	('false', '(0,175);', 'pro;')																															('false', '(0,175);', 'pro;')																																																			('true', None, None)												('true', None, None)		('false', '(0,175);', 'pro;')		('false', '(0,28);(33,142);', 'con;con;')
abortion	https://en.wikipedia.org/wiki/Unsafe_abortion	crawl-data/CC-MAIN-2016-07/segments/1454701146550.16/warc/CC-MAIN-20160205193906-00211-ip-10-236-182-209.ec2.internal.warc.gz	790210342	26941	c0a6ed99e3a669c3685f89182cc8b87d		5101	97	('false', '(13,83);', 'pro;')								('false', '(13,83);', 'pro;')														('true', None, None)																																																																								('false', '(13,83);', 'con;')		('true', None, None)		('false', '(13,83);', 'pro;')
abortion	http://www.mapsofworld.com/infographics/poll/should-abortion-be-legal-text.html	crawl-data/CC-MAIN-2016-07/segments/1454701160918.28/warc/CC-MAIN-20160205193920-00004-ip-10-236-182-209.ec2.internal.warc.gz	526989967	22837	9fd97e67cd94fde6ca947d0729b8c0fa		3601	198	('false', '(0,197);', 'pro;')					('false', '(26,171);', 'pro;')																																			('false', '(26,133);', 'pro;')																												('false', '(0,197);', 'pro;')			('false', '(26,107);', 'pro;')																									('false', '(0,133);', 'pro;')		
abortion	http://www.ontheissues.org/House/Cynthia_Lummis_Abortion.htm	crawl-data/CC-MAIN-2016-07/segments/1454701162094.74/warc/CC-MAIN-20160205193922-00014-ip-10-236-182-209.ec2.internal.warc.gz	581776636	11157	30921a14b619acbfad4493b113bb8d7a		1685	182	('false', '(14,167);', 'pro;')																						('true', None, None)					('false', '(14,167);', 'pro;')																																																			('true', None, None)																		('true', None, None)		('false', '(14,167);', 'pro;')
abortion	http://www.bookrags.com/Abortion/	crawl-data/CC-MAIN-2016-07/segments/1454702018134.95/warc/CC-MAIN-20160205195338-00253-ip-10-236-182-209.ec2.internal.warc.gz	310199297	18062	10e13eac9b509cc97fc1a8e6379de068		8349	213	('false', '(113,97);', 'pro;')																										('false', '(113,38);', 'pro;')														('false', '(113,97);', 'pro;')																												('false', '(113,97);', 'pro;')						('false', '(113,97);', 'pro;')																						('false', '(113,97);', 'pro;')		
abortion	http://www.abortionreview.org/index.php/site/article/960/	crawl-data/CC-MAIN-2016-07/segments/1454701157472.18/warc/CC-MAIN-20160205193917-00175-ip-10-236-182-209.ec2.internal.warc.gz	251393548	7630	e9041f111eae4a76d6ab70aa60585758		8097	240	('false', '(42,85);(129,110);', 'pro;pro;')						('true', None, None)																									('true', None, None)					('true', None, None)																																																							('false', '(129,110);', 'pro;')					('false', '(42,85);(129,110);', 'pro;pro;')		
abortion	http://enterstageright.com/archive/articles/1106/1106abortion.htm	crawl-data/CC-MAIN-2016-07/segments/1454701146600.56/warc/CC-MAIN-20160205193906-00018-ip-10-236-182-209.ec2.internal.warc.gz	70863114	6106	e8d9327ccd197cc2e03dbd0acb2e910f		2899	159	('false', '(19,47);(79,28);', 'pro;pro;')																				('false', '(79,28);', 'pro;')											('true', None, None)																		('true', None, None)																																															('false', '(19,47);(79,28);', 'pro;pro;')		('false', '(79,28);', 'pro;')
abortion	http://www.abortionrightscampaign.ie/2014/03/03/myth-3-criminalising-abortion-ensures-a-low-abortion-rate-busted/	crawl-data/CC-MAIN-2016-07/segments/1454701153323.32/warc/CC-MAIN-20160205193913-00175-ip-10-236-182-209.ec2.internal.warc.gz	261861937	10546	02ff059f61b407f51f1eb03c0827f2fb		1618	150	('false', '(0,149);', 'pro;')																															('true', None, None)					('true', None, None)				('true', None, None)																																																								('false', '(0,149);', 'pro;')		('true', None, None)
