topic	sentence_hash	In-Domain	Cross-Domain
abortion	fc24270a5821d0037eeefd9c0e1462da	Train	Train
abortion	7df86cbb5bf125ffeee9484ab026767a	Train	Train
abortion	e2f30862197d4d0cd04e3fc709d1bc34	Train	Train
abortion	228ee75be0a54b2321c37e74b1b09e86	Train	Train
abortion	85b89be2e42e55ccdce13fa4095c0345	Train	Train
abortion	950de0cad12d8a8cd9bb7bfc49a53269	Train	Train
abortion	3c41226ccd872f4d4004ff9d23ae12e0	Train	Train
abortion	c5490e02b543b27f87d8624942a0ef1a	Train	Train
abortion	a9d812c99271a3d135aef32e76ded1fd	Train	Train
abortion	154c79c7e13ada1330bf433c51a1dfa9	Train	Train
abortion	fac49efabc331746502ee560fb7556c1	Train	Train
abortion	e65ef4d2695a3bc5b96155833a278bfc	Train	Train
abortion	e73e6ab0cf727ed3abaea4653e0c93b4	Train	Train
abortion	32c7ce3c2df3e99927454aa445098d43	Train	Train
abortion	603e8defe09644cb7cb959aa8fbf4924	Train	Train
abortion	781d5fe3773d55ebfb5e7169ff58a38e	Train	Train
abortion	4187e20fb07a03e4baa67754ffb3f956	Train	Train
abortion	480a32496db100be85fb88d0a62dd43c	Train	Train
abortion	85fc58f0be4d698d5eed8d507b10b2a6	Train	Train
abortion	29c0e6b76e5c93653b345d7305156586	Train	Train
abortion	30b16ec15204df7e03cc9eac30daff18	Train	Train
abortion	5dc3026fab0d9662937c7f101489c3e3	Train	Train
abortion	47ef9ef54deaf1d262a05f09a8821ccd	Train	Train
abortion	3c8d3227eeb6a7b5402de6999e3a843e	Train	Train
abortion	289d6c53d86d53b98a77c76becbebb27	Train	Train
abortion	daef1cdce699e930f9fc73d641a4560b	Train	Train
abortion	0db72fcf2422e48c0d42e2ed1cac239b	Train	Train
abortion	77de53c9673dde7008d5c24990091709	Train	Train
abortion	1d7dfff5167d7d353cfdd09500ddfb57	Train	Train
abortion	1677e84c5e23ccf7c36e564c272f8cae	Train	Train
abortion	b4fc34babe3ab827fd4662c1a3a441d1	Train	Train
abortion	7dd6263f015e71a9ac7e212563caa820	Train	Train
abortion	02ce8f4b360fa6e996945b6d370cb943	Train	Train
abortion	786a566d08effa4fe99ae465080b6832	Train	Train
abortion	b24d7f596da595f16b46844de6f3f23c	Train	Train
abortion	f72db137031aeac14e73af654e294882	Train	Train
abortion	e5bf596c342d8824cbb47843121d17b9	Train	Train
abortion	4a3ea7ea0b815970f150a0a9c61ddc69	Train	Train
abortion	ef1c9dd847d2b33af01a08bf575bac37	Train	Train
abortion	beb4c9074c9704ec8ebdf7ceb9df5ba3	Train	Train
abortion	4d719d5fdf86ff326618680eb7e0f26f	Train	Train
abortion	baa36ee2d69024b779aea619c0ef123a	Train	Train
abortion	71f94333c7e5be4d002c4c23083a6fe2	Train	Train
abortion	78f3ef2615460bf7a61d0b0bad194abd	Train	Train
abortion	61128c81271f60cc9301394bc257be62	Train	Train
abortion	537f6934ed292bc6d5a196dc52778fe4	Train	Train
abortion	0760511ab30d276b1cd7772de56a9cd0	Train	Train
abortion	e5afa81d8f2217aded4a202bd6590edb	Train	Train
abortion	3fb7a6cfd644eebc129adda3d3ca272b	Train	Train
abortion	dc9ddd32e4c3f6bd91d37d3e5305491c	Train	Train
abortion	09dd4b620f17f24be08025dd676fd5cc	Train	Train
abortion	372328ed813a70741825d9abaa14cb91	Train	Train
abortion	deccf281b8dddac660e53928c3ee8956	Train	Train
abortion	1c3e7f877e0c649b529232854c5113ce	Train	Train
abortion	8bfd6b40c46da1fa11abfd6aa5b84b52	Train	Train
abortion	a5c6f7838bce1def7094137ae827fdfc	Train	Train
abortion	7aa291e2778f8e92263456d917624fa4	Train	Train
abortion	408ea978d9accdb26cb2b4a680427eec	Train	Train
abortion	7e2b7e8879b16b95db9b86ea70a8e6ce	Train	Train
abortion	c8d3c4f2fcee28ff6ecef3f47de74973	Train	Train
abortion	275bd8408380f4248e01842770c3f0aa	Train	Train
abortion	72b8f63535821b99884a40cb37733e19	Train	Train
abortion	ef9fbe03941cc46b9e0a55dc02d322b9	Train	Train
abortion	9ee0467983e05845917e865e7fccaa6e	Train	Train
abortion	d9557602df82bf61b53172afd6c8f119	Train	Train
abortion	861ed0af68d92f3276065550a5b7b79f	Train	Train
abortion	16f809e364dff5a3e1cad431739ef444	Train	Train
abortion	fa4f2a8353a6da2b6976e2c5e0b67a0b	Train	Train
abortion	cfd51e7c886fd0ba1ca3a46327816136	Train	Train
abortion	b1f2b44da1c62ab2102872d8685bee91	Train	Train
abortion	37b9c183e18fa47f0a9f2719b910c2fc	Train	Train
abortion	5276efdae54999064967f33aa442a8e8	Train	Train
abortion	e28acb61ab88d2e8710f2ae95f3206b8	Train	Train
abortion	69cea0e59a686bebfa6a7bc9c7083474	Train	Train
abortion	8e06dabc95b906b015fb3e43ac399346	Train	Train
abortion	2aedbc1424ca5958ce6cdcb1ccb5d68b	Train	Train
abortion	eacf7becdea64532e0d2191c1a3750f2	Train	Train
abortion	f972c8e2f97e52b6ed81196d59522594	Train	Train
abortion	ee379de7e82121af85b4f935fdac7dae	Train	Train
abortion	6661a9df42aaba365b167861e06e77f9	Train	Train
abortion	490026f67073492b99a97f5f7a1311e5	Train	Train
abortion	ae5670cc0364b7729e871c26ed34d9d8	Train	Train
abortion	eea78ca06db527fd2e74053b7608c2d8	Train	Train
abortion	d7fbc94d291c448a1161aab399d14f0b	Train	Train
abortion	bc166779a3022e098f10fb0712cf279c	Train	Train
abortion	dd8d87211576a0c3d795e355455e6360	Train	Train
abortion	f18fbac5b3469458df80f20dbc7e1b17	Train	Train
abortion	d1360fbcaf48bf7e04e855f1a3969438	Train	Train
abortion	3d5ec58c0853aac72d728850214df262	Train	Train
abortion	fef5e2ced7efe2cdbcef50f333a897f4	Train	Train
abortion	7b68ecd053cb70e683e075a17ad6bc82	Train	Train
abortion	9fd97e67cd94fde6ca947d0729b8c0fa	Train	Train
abortion	122283d5da339f0d09320dab2a428393	Train	Train
abortion	d848ea010f1e6a3027dcb1d8d6054822	Train	Train
abortion	85f63889bd9136838bf1a993016de8a8	Train	Train
abortion	3637cc346c83b913eae50aba20654591	Train	Train
abortion	a0d351d00dfa65324a01935d92f15ce4	Train	Train
abortion	9607663937298f8f5d012cf6edf0fc68	Train	Train
abortion	23f66bcdc6befd0ad0e1d712a50fca65	Train	Train
abortion	98d210b73dbbecdfe40251992b834b0d	Train	Train
abortion	c9a68fece75d14b9fd2b6a562774b1d9	Train	Train
abortion	f3521321f86681b21f0ee53e9cddfefb	Train	Train
abortion	10bccc1d8c44fb4de96a1580ba11e83a	Train	Train
abortion	ba5bf98b5a81ebfe5627fc4d320949cf	Train	Train
abortion	7521ffc7920d82b11a388e2870b0e8f1	Train	Train
abortion	5809331d32ab70c0d3bdaf445830300d	Train	Train
abortion	b504ad2c82dcc9ad967f23aa1dd30a8c	Train	Train
abortion	f14615dd878ea771ec2c2a06af2e1b5d	Train	Train
abortion	b47aa1c68b5f550b8b371db62aa26fe1	Train	Train
abortion	cf8d55918b0236d7ab0b08a72c95ec46	Train	Train
abortion	32cd63b766103a175a88414899ce2e53	Train	Train
abortion	41c1beb1ea9d526c0ecadb7c6fa03b06	Train	Train
abortion	90b1b7942131a29337c94bf7a6b7e1bb	Train	Train
abortion	5ff9e14aa133ef135293adf9b11441af	Train	Train
abortion	124f74bfc34a17bc681c914328e4711c	Train	Train
abortion	8be77747bea394a08a0b5ef27984a271	Train	Train
abortion	a0162a90d4320571e7a4583a7f3915a6	Train	Train
abortion	6533662739cf6ee9663cc99c6dca5b5b	Train	Train
abortion	1cc43ef7f9cb2072e3a6e68189e623f3	Train	Train
abortion	544ffbdf72d9f54f163e2913f7121daf	Train	Train
abortion	90be3834d07c72f030f33b3f6fd37283	Train	Train
abortion	3589b0e7214fdb2f86903a4ff81e03a0	Train	Train
abortion	6382027bb9e0212fd735a70ecc52b3d3	Train	Train
abortion	bb48a1dd28209ccab0ff82b12333b5c4	Train	Train
abortion	3e8ba3eba5b6d97f8c31cf7cba6ae2cb	Train	Train
abortion	9dc3ba45543b7fe6f2de29bf7fec8e02	Train	Train
abortion	e8d9327ccd197cc2e03dbd0acb2e910f	Train	Train
abortion	65be52e3e020ed0440e266a5d5807328	Train	Train
abortion	f4d40cf12896dbc8c7d811e7b2a7bbd5	Train	Train
abortion	35cb3d21f0d19e1e09cdd11619331d30	Train	Train
abortion	82c92458c32dd01b0b7487b6c8485065	Train	Train
abortion	f9461e290c3271ce42257732b2178050	Train	Train
abortion	6d28b0f81d37fdf063fa7f4a2dacaa4c	Train	Train
abortion	a912f61ccda521f10131e9ec0d56cb8f	Train	Train
abortion	7caa528c92f5e1bc34dfa572ef39d346	Train	Train
abortion	5d9a05d8cfd9d79742fdc22bf7f0a442	Train	Train
abortion	ed64ab514a6c3c0275640fe488b5556f	Train	Train
abortion	ee326caf57fc1cb037bf4de41095b0f4	Train	Train
abortion	cfe24703b885256ee003e57d0dd421c9	Train	Train
abortion	aae625da7ddee144eb1964226cbc9d7c	Train	Train
abortion	f19ab66ea169f20219776ec960a9b222	Train	Train
abortion	8b86b6207410d167176b4f7393d40b22	Train	Train
abortion	4d9156e3f12ae146433d80dda6c6d965	Train	Train
abortion	42e8bee8b931edb4cd14945d244065e4	Train	Train
abortion	48f35f043be78cea1e9d0944d0674d8c	Train	Train
abortion	45aa259dce29004d2fb0a3ac7867dbc2	Train	Train
abortion	5fb55227484f5537dad7b139cfe32535	Train	Train
abortion	b56660cf517d83373958872a42c443ea	Train	Train
abortion	8503c2852fcdf280adc52c20eaab9696	Train	Train
abortion	8562a8cdad7b2b826fc858e0218633e9	Train	Train
abortion	bca95e1b5f6ea231dd2f9e3a79b550b1	Train	Train
abortion	0996202bd2580e277054a4a58eec5729	Train	Train
abortion	03918215965e50ad82df8036440d60de	Train	Train
abortion	2f345f2be09833cafbcb986243cbd1f1	Train	Train
abortion	fd921b66108f88c602e843a1c7842c99	Train	Train
abortion	8f70808d16a2b9394acfb9347cad16fe	Train	Train
abortion	3d67e309a2ca998835a345749f319b7a	Train	Train
abortion	8d095d35b22f636c7a3c949079889a17	Train	Train
abortion	ec93c277277f6d8d156bfab48c5ca780	Train	Train
abortion	b2d8aded2b21f02714c35f1504b5ec92	Train	Train
abortion	29ac1921ce1737827020e556033c2b53	Train	Train
abortion	bf3dcfb6f165d623c1b093fb9d17a264	Train	Train
abortion	12afc7f1e36afd3982c6f75895544590	Train	Train
abortion	b2ef4d3297684775e53a73da170bdf69	Train	Train
abortion	da922b39d403a514d6d85738e4713820	Train	Train
abortion	8eb0e718696e85b2abb07207ab7b667b	Train	Train
abortion	50b5a6253ad9a7c5a84d9de48feea7ba	Train	Train
abortion	a97fa3c78f66ef1db49d6b7e8758566d	Train	Train
abortion	1c5e9da9de97d9a4d0af72da099ff6c5	Train	Train
abortion	10e72f458438112c3996aacdb8189048	Train	Train
abortion	33c79a2a648776dd319deae6a0daa523	Train	Train
abortion	81723b251a592b9a16f1f0c4ab4b5efe	Train	Train
abortion	e2f6da30517b493bf39fb8cbd85f315a	Train	Train
abortion	a87b33dd1ccd251fcf89acd8627f6762	Train	Train
abortion	4c76131dbcb22a9d7380821e0cf35516	Train	Train
abortion	e9041f111eae4a76d6ab70aa60585758	Train	Train
abortion	344b1b1c4af73c4a72c37c502112d64a	Train	Train
abortion	f2c5693430664a1a7fe03237ec36d10d	Train	Train
abortion	f3de98544ac200e3250a8d9d02e565ce	Train	Train
abortion	a22b5ae1721e5258341631669a566c6c	Train	Train
abortion	5b248b6ca60af787cf85396f2ddf49a6	Train	Train
abortion	dc9cc033770611bb825ce913b7ff5da1	Train	Train
abortion	fc2d8982014a4679862fe44a978bb713	Train	Train
abortion	5280cf405c2ea8b76e5f458cae28b9d4	Train	Train
abortion	3c85e7bf93c285821a537b801e3d01e8	Train	Train
abortion	0bd8300040d6c96d740c63c7968156e7	Train	Train
abortion	b32fae50c6493bcdfaa951956b64ee49	Train	Train
abortion	b70f01ed30d57ab4030a22e559c4e91d	Train	Train
abortion	085dd59184b7d6f9da31a2ca4426ffff	Train	Train
abortion	04e2ca524e88de78e6fa48a5f9b1a50f	Train	Train
abortion	d2c0b1b6db72a99dc0e6cbbcab3a87af	Train	Train
abortion	ed0e3548895e8e9af7fa4c85d2a58104	Train	Train
abortion	b64a74afe0a6e071f297a086a90afb76	Train	Train
abortion	98b3d1794735b6186e1ddfbebbc3fee7	Train	Train
abortion	1f3cd497676f3bcafa4f6d1c11e70c1a	Train	Train
abortion	384d89df3c9dedcfa7588cc0545cb756	Train	Train
abortion	d26bdae8f0b5af7c2586967744dc1aca	Train	Train
abortion	d0d0082899254e6010041baf9c66c81d	Train	Train
abortion	0cfb56389c0eda9155756accb2e556dc	Train	Train
abortion	a8e972259bbe4c8456c2fb984109c9b5	Train	Train
abortion	4024f5f4af3f9501a48a3608011c8c20	Train	Train
abortion	5ddc421b4f327144547512a9f9691b28	Train	Train
abortion	51119b958fd3a45349dbbde35d7ecb97	Train	Train
abortion	52dcdf0b93b1dc94e68c89a0a09056ee	Train	Train
abortion	9617134d1d367959741ef0822766f4ca	Train	Train
abortion	338fb985a95a636027f29575ecb1796f	Train	Train
abortion	ca0264445147d2073392b87e7b1ccc5e	Train	Train
abortion	4738dff32ca76b9cf2e0569d7da47de9	Train	Train
abortion	d7b670c8ef5f9f3fef13653265b5c579	Train	Train
abortion	a497c849ec8cedeab0e22bc51502a9c4	Train	Train
abortion	7065d3f0358d13659301f07a599a1e55	Train	Train
abortion	6d6f560288ddd490cde00e05ffc465cd	Train	Train
abortion	9d40e6246e631f8860909ce38ecc8971	Train	Train
abortion	09782ba6bfc8423504e72396144b4f2e	Train	Train
abortion	e2f37c7413769d9368f459f3b214a0bf	Train	Train
abortion	f7bd7efd10bd28bc51991c41f42565fa	Train	Train
abortion	b3db97e9b1df345df1be11a2df397a1b	Train	Train
abortion	48d7b64b90c8f8cf57be2650d1dc904f	Train	Train
abortion	0085cf4a5979f96663b40ff814b9cf03	Train	Train
abortion	8f348ea2df16588bc8992675368dfec4	Train	Train
abortion	227828ed60ea6639f2aec79b9bb76d0a	Train	Train
abortion	182d20cba18ebbf584644a69e1999c19	Train	Train
abortion	5307f89ba1c86118d3aaa9bcf342bedc	Train	Train
abortion	1034283d256a154af346865d10559e16	Train	Train
abortion	eadd667e290d7321a24f5b642108db72	Train	Train
abortion	b49e58f8cdb3642d91049aee5ee9fe3c	Train	Train
abortion	26a53717165523bd5527d931d8130eac	Train	Train
abortion	0c8df6114578fb2d3f1f0057e3e91eba	Train	Train
abortion	cbed080a834de028e1ac8abb581cc9f4	Train	Train
abortion	ab8b3c2741439b18f8ae9b97bdf0dfa4	Train	Train
abortion	1e6f40ebc0ceca05a5933a890b3b7342	Train	Train
abortion	3d36754bb8708b89b7be0b1c2c1e52ce	Train	Train
abortion	ded0f65680bc100dc0b9aafa1913b9c0	Train	Train
abortion	fa830c1639650c9a915263ee66238151	Train	Train
abortion	03ae3305aa6810a774c963a948fa5f77	Train	Train
abortion	319bbb4f62d7bf77803277f839d395e7	Train	Train
abortion	66ba2b26450d15d005ac630c3f551fb5	Train	Train
abortion	315a96b35c839e1081d18141746abd31	Train	Train
abortion	f373b85ab08189a1c49269fd8303fae6	Train	Train
abortion	c9bbdbf475aa678202c71076000b1bac	Train	Train
abortion	66f0c4710c9ddccf92e116db58c05bcd	Train	Train
abortion	f6db1551d6de4046ec6f0a0b1e81ff7c	Train	Train
abortion	467ab42ee3488b2b980f04772c119e23	Train	Train
abortion	cc4bec62fef536733849778ec1cf878a	Train	Train
abortion	4556c584e58d03137e6ee64489c99761	Train	Train
abortion	5b6b6bfd29e00c61fe334bbfca3a9cac	Train	Train
abortion	a8d9b637a134153c250e65fb81072e33	Train	Train
abortion	06818031301de393a552c1882bf5ccb7	Train	Train
abortion	9343a1e46d3308a20a3ba9df8b705d9a	Train	Train
abortion	0adec2c2c12e240b90f01ad88891414b	Train	Train
abortion	00df19ee256a20ca3aaf154cafc6caba	Train	Train
abortion	a3485b99035f671d1ca6d25ad1c84ecd	Train	Train
abortion	97df8bbe8521c12945f05bee481a60ea	Train	Train
abortion	ba941c680b412c008d63c5426d2a51b9	Train	Train
abortion	07cd1a82dde66ddccd37b214fa8b3c85	Train	Train
abortion	b066a661db59b5d5b95265cd2c22460d	Train	Train
abortion	d3bb0261b2240b16ffd1525788e4bb64	Train	Train
abortion	dd87d14a8b7c3bc338736486029ef784	Train	Train
abortion	6efb7b87dd8a0562fbb526af3fc15e14	Train	Train
abortion	ad223fd397003fa9f6d1ba14c68b8c6b	Train	Train
abortion	196ab914b6f0c81245ad3da2e80f00ac	Train	Train
abortion	095332d1dbfe41b2c41a0c93cf869de9	Train	Train
abortion	9bf728abce4249cb303580b612e17f2b	Train	Train
abortion	344cb4479efe63f5dac6f1cc592a8551	Train	Train
abortion	63fe48b4287c40bbbd2a916ce77e8259	Train	Train
abortion	e9b4d2be70ecd5c5279c285a0ef2e078	Train	Train
abortion	0763c6e5705654a665e906b088633479	Train	Train
abortion	6794f7adeb43113d969c20e77b932ccb	Train	Train
abortion	0c2f1684f414edd96c3455d85e33664d	Train	Train
abortion	188bf4ae40b47121599b845a893bf688	Train	Train
abortion	4547dc1b91b2efeb09db6d5d982ecdcf	Train	Train
abortion	39b8a02e1f8b15b40addf87d8cdb7bcd	Train	Train
abortion	add49e4fe1b1dd9fa33e64ab47086f23	Train	Train
abortion	96bb81442e23d89ff572f1020dd25cd4	Train	Train
abortion	fbd45fa7883f2661836d4adc2ec4fb24	Train	Train
abortion	8afe495a725a61b3f9de03fd55e9cbd0	Train	Train
abortion	39941e32231bef53012f7506f736ea2c	Train	Train
abortion	4f559ae6a5fc677dddfb8a837a742f81	Train	Train
abortion	0511587785318a0aaafdbf402be4921e	Train	Train
abortion	01bcb97f7ebd14ac8a41a1208ee50e43	Train	Train
abortion	ee9729e0b5e0a329d4474b64a8d8b91d	Train	Train
abortion	7b9aec3109c43a67dd7a4b7d95261431	Train	Train
abortion	3c0ce95936b20d3b1f64b1ecb99d5c1f	Train	Train
abortion	68df101375fe52dc61af34dcf316dadd	Train	Train
abortion	5ef7b5ee1dcf58f6f497cdd10abfee40	Train	Train
abortion	ce781619e356614dc80addb97cd5d017	Train	Train
abortion	a458089f6b5edd1258929cd40a0357e4	Train	Train
abortion	9f58955b3b3ed70e9f85e2b824ad5c63	Train	Train
abortion	4475d6be715f1a37a7bb3e2013b0aa18	Train	Train
abortion	e93944ee88a0c586f921ddad70ae4798	Train	Train
abortion	7efc3d1421b2852777c79ae096c22b67	Train	Train
abortion	a15a4b07b1faa9675640ff4a86fa7f5c	Train	Train
abortion	bbd34fa39b73d7bf0253afda884c8db5	Train	Train
abortion	8a7c592a75abd61714cd367710c2b529	Train	Train
abortion	16b13a1b5a0d8fe047b8db80b8d5fa39	Train	Train
abortion	5301049473d03544c1b3c6432f718202	Train	Train
abortion	ffa0a1fd6241070c3fbcca4de0ade7ac	Train	Train
abortion	a6483626ea7c2c4794db952fdf136afb	Train	Train
abortion	97d9cf5dbc7302d26c06985b3622650f	Train	Train
abortion	5b52b7fd91f17aa206af022db8237c16	Train	Train
abortion	5e4c5ba260df49e6bdbb2a95ed271756	Train	Train
abortion	79c9c8987735113d88b4baa4fb674bbb	Train	Train
abortion	d688299c94af59ff09f20f0b9510c083	Train	Train
abortion	0d6102cbcbf327dc3e3291084de3d6cd	Train	Train
abortion	63e855bbea971bd0ade72e86b910cfc2	Train	Train
abortion	72ecbe04f564c478b1441a18cce27243	Train	Train
abortion	54b3f979ae96477224f62970978e8b98	Train	Train
abortion	72fa689167e631b97a3bc34da07a88ea	Train	Train
abortion	996407c6de621382896529e1b36bb1cb	Train	Train
abortion	c801a2154f760653e1ca0d8d18f32683	Train	Train
abortion	a07ed592b6121a2ec6ed0c38fca25e8d	Train	Train
abortion	f6b70e305925c5870d5f365de1a13d3c	Train	Train
abortion	797921e06a9432662639f28acc5cfe95	Train	Train
abortion	00487bb8199717261f78a6613b2e1d9c	Train	Train
abortion	2ec45476c1d39cc142c67139854b240f	Train	Train
abortion	83e34a4e6917ff80da6f342caed84233	Train	Train
abortion	e485953c94eaacc19c759feeedf8aff7	Train	Train
abortion	ae9f59ec7cde0d94a9a94aba8b298993	Train	Train
abortion	05b1f51cb01c2235d277ee32d0223317	Train	Train
abortion	a2793ed95986bbaec408ddaa900bcd22	Train	Train
abortion	0cfe4188b65aed503b04e44a9b69c68d	Train	Train
abortion	c0a6ed99e3a669c3685f89182cc8b87d	Train	Train
abortion	7068397513c307b93a0ec6e8ff62458f	Train	Train
abortion	7f860c19c663fee4a7e8117a869c361e	Train	Train
abortion	0e2df24a852be18af4053b62cc7d19a4	Train	Train
abortion	e2e35a2d60adf07ba8648f97c8075d6b	Train	Train
abortion	20e1e4ba09ff327d9d6df67ab0c3da5f	Train	Train
abortion	288c1a2338aa160dae01081844bbd9c9	Train	Train
abortion	8666e0ca2afb5bd9efeed76b93f8e6c6	Train	Train
abortion	fc588cd8e718a312657125acf64de26b	Train	Train
abortion	75f28e2f8d045b291ba97ce4d5a8a9fc	Train	Train
abortion	73e0cbcdce07c67e10bf6428f498b1b6	Train	Train
abortion	3d6fd4232d01d3e3e5ce194775705693	Train	Train
abortion	0be4013e86e6cb9a7a391db5cb89c3f0	Train	Train
abortion	c515e7df17f2b9e9733bb5f4c1aafd64	Train	Train
abortion	b030ae3e35eb98021bfd668cba8c6781	Train	Train
abortion	def2504922430b23d1d885318a7bc69d	Train	Train
abortion	889a885c5676eaf5424385bbf2e8e9f5	Train	Train
abortion	ffad22e8d5a2fbd8b77fadb7adc02456	Train	Train
abortion	5218b8627278f934a215d701f62b888b	Train	Train
abortion	1df24ca264bc7712acaa1e0e483e3690	Train	Train
abortion	640c57deb0dd57f3617719d75f8d1a5d	Train	Train
abortion	e686aea744a58da67fbb795c1fdb9ddf	Train	Train
abortion	ec3bbf19ddc3ae7e5e2e0da6d4734b3e	Train	Train
abortion	1b889f3145e6eaad41fad48e11c20c52	Train	Train
abortion	3500f0fdcaf84963f692ebd02750dd20	Train	Train
abortion	6b375625f91af4da75453b0b421bd0df	Train	Train
abortion	5dde0bd64cd0d595880eac8a3dbdc4f4	Train	Train
abortion	cf17e37a6741a867c21434d5a6af5714	Train	Train
abortion	a3800403148ae0d1f00afa49559ebd1b	Train	Train
abortion	c204f05c4bd81441047e6471eecb4c5c	Train	Train
abortion	ca4cae0b12009ad9ebd207f66f844dd8	Train	Train
abortion	214622be4251a251f4a52c93db55dcb7	Train	Train
abortion	2268d9efda467c075c236e09e9870768	Train	Train
abortion	5d66bf05421642cd6ddd9dc59abe8db1	Train	Train
abortion	8a4d720459689467c976117843471f60	Train	Train
abortion	5b413506e91aa27049eaa91de0448c50	Train	Train
abortion	b2d38512562e0e73aa5ab6b800da75ed	Train	Train
abortion	13b053235dd6abae3dd9f95ea3a57bf1	Train	Train
abortion	f660995e2f07c88259d3de5caedc0d6a	Train	Train
abortion	616eaa37329b9efbe7870d9d61d53570	Train	Train
abortion	233725290c459649a51a8dee4c291a7e	Train	Train
abortion	2495bc298d73527c90ec5a569f4cde32	Train	Train
abortion	1acbcce3513812e190e04c5e0fd3ec3b	Train	Train
abortion	a2732fc648ba705a3abb593381ff16d0	Train	Train
abortion	48bbe2cd2755c93ef8cf50eff9f473f6	Train	Train
abortion	139ac333c0dacf7b89bcc44c216cfc59	Train	Train
abortion	bc414a7188622d29235b6e242febd75d	Train	Train
abortion	2214765dfc00c961a2127fe56ea27073	Train	Train
abortion	0202242cf2a45de06359a97a4ab3da14	Train	Train
abortion	3d13927868bc0a2bf2c038aa4368fc26	Train	Train
abortion	8eaa785b9c6da2b4d5316d648540f564	Train	Train
abortion	677cc89b67c82dc20f130a4d11f83108	Train	Train
abortion	11f44c80bb6ad1c309fc781fff0e7a18	Train	Train
abortion	c92f90ec273cfb32d04f512e5a21edd9	Train	Train
abortion	d142df77c5dbff6ff445ca389550a9f1	Train	Train
abortion	93f4c07bac354a50c05f0f5376a889a2	Train	Train
abortion	e1bb2799a49940f31ff999ddc835de01	Train	Train
abortion	7baa3f4d643d611e716209e3f3af8e15	Train	Train
abortion	dda99ba532e2a3e38af8b974be58eed7	Train	Train
abortion	49a0b0129af6f2d645b128cf686b4dda	Train	Train
abortion	9cb82696da46313884c2e7d1c9bdce64	Train	Train
abortion	54dbe7cff7eb6525b1a8a6cf4b915a13	Train	Train
abortion	c711b8535d21473b7b5e0cba1e59899e	Train	Train
abortion	73289d8b9592b942b0bdf2974b427ab9	Train	Train
abortion	6643594803b5a08d93231d142ca6eb13	Train	Train
abortion	fe818a842f9938538b09195c381dd8eb	Train	Train
abortion	7c3a01f7122284421c83e89f13e0aa2c	Train	Train
abortion	c6d1380a6759a2ba4d522bbadd48efda	Train	Train
abortion	48dd9c49e7ce4e2b41a6346f11651617	Train	Train
abortion	ed2b48d1f8d51bcf7fcfbe71c0b5b196	Train	Train
abortion	b5398cfdf4a368b8e8dfb644e387f7e6	Train	Train
abortion	f383015329497a1b73591dcbce6d04d0	Train	Train
